car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh),redundant_price_column,car_age,mileage_category
TOYOTA,FORTUNER 2.4 V,101248.98250599737,2400.0,automatic transmission,Diesel,RHD,Other,7 Seats,5 Doors,suv,1,1,0,1,0,1,1,1,2020.0,6282067.10340017,5764571.0,5.0,2.0
TOYOTA,YARIS,4920.457100071592,1600.0,manual transmission,Petrol,RHD,4WD,4 Seats,3 Doors,hatchback,0,1,0,1,0,0,0,1,2023.0,5807123.906392689,5525571.0,2.0,0.0
TOYOTA,PRIUS S,73841.86587773131,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2018.0,2698373.385641301,2556605.0,7.0,1.0
KIA,K8,23501.568029111117,1598.0,automatic transmission,Hybrid,LHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022.0,4904606.819176199,5069399.0,3.0,0.0
TOYOTA,PRIUS,15080.95234531448,1800.0,automatic transmission,Hybrid,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,0,0,0,0,0,2018.0,3084930.086122259,3054704.0,7.0,0.0
TOYOTA,C-HR S LED PKG,67709.69750909785,1790.0,automatic transmission,Hybrid,RHD,2WD,8 Seats,5 Doors,suv,1,1,0,1,1,0,1,1,2018.0,1543029.9189713146,1711312.0,7.0,1.0
MERCEDES,C CLASS,1155.8110530108595,2996.0,automatic transmission,Petrol,LHD,4WD,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2024.0,8054699.843013905,8120355.0,1.0,0.0
TOYOTA,AQUA G,25516.57314914517,1500.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,0,2022.0,2860881.221896664,2688353.0,3.0,0.0
MERCEDES,E CLASS,44794.58844365714,1991.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,6633201.019502652,6630434.0,5.0,0.0
TOYOTA,86 G,58143.40286389252,2000.0,manual transmission,Petrol,RHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2016.0,2767828.4637708305,2698906.0,9.0,1.0
BMW,X6,14239.586193445584,2993.0,automatic transmission,Hybrid,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021.0,11038125.732464507,12155848.999999989,4.0,0.0
TOYOTA,86 GT,53435.34537608169,2000.0,manual transmission,Petrol,RHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2015.0,5361751.149185689,4883891.0,10.0,1.0
MERCEDES,GLE CLASS GLE400 4MATIC 2017 GCC FULL OPTIONS ORIGINAL PAINT,121015.7528026676,900.0,automatic transmission,Petrol,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,0,2016.0,5804821.102105996,5724528.0,9.0,2.0
BMW,5 SERIES,65364.573928616046,1998.0,automatic transmission,Hybrid,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,6211776.729675037,5712123.0,4.0,1.0
MERCEDES,S CLASS,139379.60324166392,2987.0,automatic transmission,Diesel,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018.0,6628911.495316864,6297845.0,7.0,2.0
GENESIS,G80,59856.18028725285,3342.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018.0,4065351.048346162,4496082.0,7.0,1.0
MERCEDES,G CLASS,7478.102719154089,3000.0,automatic transmission,Diesel,RHD,4WD,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2022.0,12593181.141711218,12155848.999999989,3.0,0.0
TOYOTA,PRIUS,9645.97896853659,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2018.0,3420598.078389681,3279885.0,7.0,0.0
TOYOTA,HARRIER HYBRID,1069.726390196656,2500.0,automatic transmission,Hybrid,RHD,Other,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2023.0,6878599.158509575,6409964.0,2.0,0.0
MERCEDES,CLS CLASS,26188.89335233631,2999.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,10138254.640502784,10875269.0,5.0,0.0
MERCEDES,CLS CLASS,38460.74140565492,3000.0,automatic transmission,Petrol,RHD,4WD,4 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,5360373.160240802,5141790.0,6.0,0.0
GENESIS,G90,27011.353933975843,3342.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,7584150.867034267,7715197.0,6.0,0.0
MERCEDES,S CLASS,132571.139614305,4300.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2017.0,7259773.185197978,6894088.0,8.0,2.0
